,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
299,Elderly,No,Non-Travel,Very High,Research & Development,Low,4,Medical,1,Male,Low,4,4.0,Manager,4,Single,High,2,No,22.0,4.0,3.0,0,Very High,3,2,Medium,4,2.0,1.0
300,Adult,Yes,Travel_Rarely,High,Research & Development,Very High,1,Medical,3,Male,Very High,2,1.0,Research Scientist,4,Single,High,1,Yes,13.0,3.0,3.0,0,Low,3,2,Medium,3,0.0,1.0
301,Adult,Yes,Travel_Frequently,Very High,Human Resources,Very High,3,Human Resources,1,Female,Medium,2,1.0,Human Resources,2,Married,High,1,No,12.0,3.0,1.0,0,Low,2,3,Low,0,0.0,0.0
302,Adult,No,Travel_Rarely,Low,Sales,High,3,Technical Degree,2,Female,Very High,2,2.0,Sales Executive,2,Divorced,Medium,7,No,12.0,3.0,2.0,1,Medium,2,4,Medium,1,1.0,3.0
303,Adult,No,Travel_Rarely,Very High,Research & Development,Low,3,Medical,2,Male,Low,2,1.0,Research Scientist,3,Single,Very High,1,No,18.0,3.0,1.0,0,Low,3,3,High,4,0.0,4.0
304,Adult,No,Non-Travel,Low,Research & Development,Very High,4,Life Sciences,1,Male,High,3,2.0,Manufacturing Director,4,Single,Very High,2,No,20.0,4.0,1.0,0,Very High,0,3,Very High,9,0.0,9.0
305,Adult,No,Travel_Rarely,Low,Research & Development,Very High,3,Life Sciences,3,Male,Medium,4,2.0,Healthcare Representative,3,Married,Medium,3,No,16.0,3.0,3.0,1,Medium,3,3,High,0,1.0,7.0
306,Adult,No,Travel_Rarely,Very High,Research & Development,Very High,3,Life Sciences,1,Female,Very High,3,1.0,Research Scientist,4,Divorced,Low,1,No,22.0,4.0,2.0,2,Low,3,1,Low,2,0.0,2.0
307,Adult,No,Travel_Rarely,Medium,Research & Development,Very High,4,Medical,3,Female,Medium,3,3.0,Healthcare Representative,3,Divorced,Low,1,Yes,11.0,3.0,3.0,1,Very High,3,2,Very High,10,10.0,1.0
308,Adult,No,Non-Travel,Medium,Sales,Low,4,Life Sciences,4,Female,Medium,3,3.0,Sales Executive,3,Divorced,Medium,1,Yes,19.0,3.0,1.0,1,Medium,5,2,Very High,8,9.0,6.0
309,Adult,No,Travel_Rarely,Very High,Research & Development,High,4,Medical,4,Male,Low,3,1.0,Laboratory Technician,3,Married,High,7,Yes,11.0,3.0,3.0,1,Low,3,3,Low,2,2.0,2.0
310,Adult,No,Travel_Rarely,Medium,Sales,High,5,Marketing,4,Male,Very High,4,3.0,Sales Executive,3,Divorced,Very High,0,Yes,14.0,3.0,4.0,2,Medium,3,3,High,8,0.0,8.0
311,Senior Citizen,No,Travel_Rarely,Medium,Research & Development,High,3,Life Sciences,3,Female,High,3,1.0,Research Scientist,1,Divorced,Medium,4,Yes,18.0,3.0,3.0,1,Very High,3,3,Low,2,2.0,2.0
312,Adult,Yes,Travel_Rarely,Very High,Research & Development,Medium,3,Life Sciences,1,Male,High,3,1.0,Laboratory Technician,1,Single,Low,3,Yes,14.0,3.0,2.0,0,Medium,3,1,Medium,2,0.0,3.0
313,Adult,No,Travel_Frequently,High,Sales,High,3,Life Sciences,4,Male,Low,3,3.0,Sales Executive,3,Single,Low,1,No,15.0,3.0,4.0,0,Medium,0,3,High,8,1.0,7.0
314,Adult,No,Travel_Rarely,Very High,Research & Development,Medium,2,Medical,4,Male,High,3,2.0,Manufacturing Director,4,Divorced,Very High,7,No,16.0,3.0,3.0,2,Medium,2,2,High,2,0.0,4.0
315,Adult,Yes,Travel_Rarely,Medium,Research & Development,High,1,Medical,1,Male,Low,1,1.0,Laboratory Technician,4,Divorced,Low,7,No,13.0,3.0,1.0,3,Medium,2,3,Medium,3,1.0,3.0
316,Elderly,No,Travel_Rarely,Very High,Research & Development,Very High,3,Medical,3,Male,Very High,3,1.0,Research Scientist,4,Single,Medium,5,No,13.0,3.0,2.0,0,Medium,2,2,High,5,0.0,3.0
317,Elderly,No,Non-Travel,High,Research & Development,Low,1,Medical,3,Female,Very High,3,3.0,Research Director,2,Married,High,0,No,18.0,3.0,1.0,2,High,3,1,Very High,8,5.0,12.0
318,Elderly,Yes,Travel_Frequently,Medium,Sales,Medium,2,Medical,4,Female,Very High,3,1.0,Sales Representative,3,Married,Medium,2,Yes,11.0,3.0,3.0,2,Very High,3,3,High,7,7.0,7.0
319,Elderly,No,Travel_Rarely,High,Research & Development,High,3,Medical,4,Female,Low,3,4.0,Manager,3,Divorced,High,2,Yes,14.0,3.0,3.0,3,Very High,2,3,Medium,0,0.0,2.0
320,Adult,No,Travel_Rarely,Medium,Research & Development,Very High,3,Life Sciences,2,Male,Medium,4,2.0,Laboratory Technician,3,Married,Very High,1,No,17.0,3.0,4.0,2,Medium,3,2,Very High,9,6.0,8.0
321,Elderly,Yes,Travel_Rarely,Very High,Sales,Very High,2,Marketing,2,Female,High,3,1.0,Sales Representative,2,Single,Very High,1,Yes,22.0,4.0,4.0,0,Low,5,2,Medium,3,0.0,2.0
322,Adult,No,Non-Travel,Low,Sales,Medium,3,Medical,2,Male,Low,3,2.0,Sales Executive,3,Married,Medium,1,No,15.0,3.0,2.0,0,Low,3,4,Medium,4,0.0,4.0
323,Elderly,No,Non-Travel,Medium,Sales,Very High,4,Life Sciences,1,Male,Low,3,1.0,Sales Representative,4,Divorced,High,2,No,15.0,3.0,2.0,2,Very High,3,2,High,8,0.0,0.0
324,Elderly,No,Travel_Rarely,Low,Research & Development,Medium,2,Medical,3,Female,Low,2,2.0,Laboratory Technician,1,Married,Very High,4,No,25.0,4.0,1.0,1,Medium,3,3,Low,2,1.0,2.0
325,Elderly,No,Travel_Rarely,Very High,Sales,Low,2,Medical,3,Male,Low,3,4.0,Manager,3,Divorced,Medium,6,No,13.0,3.0,3.0,1,Very High,3,4,Very High,13,15.0,2.0
326,Adult,No,Travel_Rarely,Low,Research & Development,Very High,2,Life Sciences,2,Male,High,3,1.0,Research Scientist,2,Married,Medium,4,No,21.0,4.0,1.0,0,Medium,1,3,Low,0,0.0,0.0
327,Adult,No,Travel_Frequently,Medium,Sales,Very High,3,Life Sciences,3,Male,High,4,1.0,Sales Representative,4,Married,Very High,0,No,12.0,3.0,1.0,1,Low,4,3,Low,2,2.0,2.0
328,Adult,No,Travel_Rarely,High,Sales,Low,2,Life Sciences,2,Female,Low,3,2.0,Sales Executive,1,Divorced,High,3,No,15.0,3.0,4.0,1,High,3,3,High,7,1.0,7.0
329,Senior Citizen,No,Travel_Rarely,Low,Sales,Medium,3,Life Sciences,3,Female,Medium,2,2.0,Sales Executive,4,Single,High,5,No,17.0,3.0,4.0,0,High,2,3,High,1,0.0,5.0
330,Adult,No,Travel_Rarely,Very High,Research & Development,Medium,3,Medical,3,Male,Medium,4,2.0,Research Scientist,1,Divorced,High,4,Yes,13.0,3.0,1.0,2,High,2,3,High,7,6.0,7.0
331,Elderly,No,Travel_Rarely,Medium,Human Resources,Low,1,Technical Degree,3,Male,Medium,3,1.0,Human Resources,3,Divorced,Very High,0,Yes,11.0,3.0,3.0,1,Low,5,3,Low,2,1.0,0.0
332,Adult,No,Non-Travel,Medium,Sales,Very High,3,Life Sciences,3,Female,Low,3,2.0,Sales Executive,4,Divorced,High,1,Yes,25.0,4.0,3.0,1,Medium,2,3,High,5,1.0,2.0
333,Adult,No,Travel_Frequently,Low,Research & Development,Low,4,Life Sciences,1,Female,High,4,2.0,Manufacturing Director,1,Single,Very High,6,Yes,12.0,3.0,4.0,0,Very High,2,3,Very High,7,4.0,12.0
334,Senior Citizen,No,Non-Travel,Low,Research & Development,Low,4,Life Sciences,4,Male,Low,1,2.0,Healthcare Representative,3,Divorced,High,2,Yes,13.0,3.0,4.0,1,High,2,3,Medium,3,1.0,2.0
335,Adult,No,Travel_Frequently,Medium,Research & Development,Medium,1,Life Sciences,1,Male,Low,3,2.0,Healthcare Representative,4,Single,Very High,0,No,17.0,3.0,3.0,0,Medium,1,2,High,2,0.0,4.0
336,Elderly,No,Non-Travel,Low,Sales,High,2,Life Sciences,4,Male,Medium,3,2.0,Sales Executive,4,Single,Medium,7,No,14.0,3.0,4.0,0,Very High,3,3,Very High,3,1.0,10.0
337,Elderly,No,Travel_Rarely,High,Research & Development,Low,1,Life Sciences,1,Female,High,4,1.0,Research Scientist,4,Married,High,1,No,13.0,3.0,4.0,1,Medium,5,3,Very High,5,7.0,7.0
338,Adult,No,Travel_Frequently,Medium,Research & Development,High,4,Medical,2,Female,Very High,3,3.0,Research Director,3,Single,Medium,9,No,17.0,3.0,3.0,0,Very High,3,2,Very High,7,2.0,13.0
339,Adult,No,Travel_Frequently,Very High,Research & Development,Medium,3,Life Sciences,2,Male,Very High,4,1.0,Laboratory Technician,2,Married,Very High,1,No,20.0,4.0,3.0,0,Low,3,1,Medium,1,0.0,3.0
340,Adult,No,Travel_Rarely,Very High,Research & Development,Medium,4,Medical,3,Female,Low,3,3.0,Manufacturing Director,4,Single,Very High,1,Yes,14.0,3.0,3.0,0,High,2,2,Very High,9,4.0,10.0
341,Young Adult,No,Travel_Rarely,Medium,Sales,High,1,Life Sciences,4,Male,Medium,3,1.0,Sales Representative,1,Single,Very High,1,No,11.0,3.0,1.0,0,Low,3,3,Low,2,0.0,2.0
342,Adult,No,Travel_Rarely,Medium,Research & Development,Low,4,Life Sciences,4,Male,Very High,2,2.0,Manufacturing Director,1,Married,Very High,6,No,13.0,3.0,2.0,1,High,3,3,Very High,9,5.0,9.0
343,Adult,No,Travel_Rarely,Very High,Research & Development,Low,4,Life Sciences,4,Male,Very High,3,2.0,Manufacturing Director,3,Married,Low,9,No,14.0,3.0,2.0,0,High,3,3,Low,0,0.0,0.0
344,Adult,Yes,Travel_Rarely,Very High,Research & Development,Very High,3,Technical Degree,3,Male,Low,2,1.0,Laboratory Technician,4,Divorced,High,5,No,12.0,3.0,1.0,1,Low,2,2,Medium,1,0.0,3.0
345,Adult,No,Travel_Rarely,Very High,Sales,Medium,2,Medical,2,Female,High,3,2.0,Sales Executive,3,Married,Low,1,No,14.0,3.0,1.0,1,Low,5,2,High,0,1.0,2.0
346,Adult,No,Travel_Rarely,Very High,Research & Development,Medium,1,Medical,2,Male,Very High,3,1.0,Laboratory Technician,1,Single,High,1,Yes,18.0,3.0,4.0,0,Medium,3,3,Very High,9,1.0,5.0
347,Adult,No,Non-Travel,High,Research & Development,Low,4,Medical,3,Male,Very High,1,2.0,Manufacturing Director,3,Married,Low,0,No,12.0,3.0,4.0,1,Low,2,3,Medium,4,1.0,4.0
348,Elderly,No,Travel_Rarely,High,Research & Development,Low,3,Life Sciences,3,Female,Very High,4,3.0,Healthcare Representative,4,Married,High,1,Yes,19.0,3.0,2.0,1,Medium,2,3,High,7,6.0,7.0
349,Adult,No,Non-Travel,Low,Human Resources,Low,2,Life Sciences,3,Male,Low,3,1.0,Human Resources,4,Divorced,Medium,1,No,15.0,3.0,2.0,1,Low,2,3,Low,2,2.0,2.0
350,Elderly,No,Travel_Rarely,Low,Research & Development,Medium,3,Life Sciences,4,Male,Very High,3,2.0,Laboratory Technician,4,Single,Medium,2,No,17.0,3.0,4.0,0,Very High,4,3,Low,2,2.0,2.0
351,Elderly,No,Non-Travel,Low,Research & Development,Medium,1,Life Sciences,2,Female,Medium,1,5.0,Research Director,3,Divorced,High,1,No,22.0,4.0,2.0,2,Very High,3,3,Very High,16,5.0,10.0
352,Elderly,No,Travel_Rarely,Low,Sales,Low,2,Marketing,3,Female,Low,3,2.0,Sales Executive,4,Married,High,0,Yes,22.0,4.0,1.0,1,Medium,2,3,High,6,7.0,7.0
353,Elderly,No,Travel_Rarely,Low,Research & Development,Low,4,Life Sciences,2,Female,Very High,3,1.0,Laboratory Technician,1,Divorced,High,3,No,16.0,3.0,2.0,1,Medium,5,3,Medium,2,1.0,2.0
354,Adult,No,Travel_Frequently,High,Sales,Low,3,Life Sciences,3,Female,Low,4,2.0,Sales Executive,1,Married,Low,2,No,19.0,3.0,1.0,2,Medium,3,3,Medium,3,1.0,3.0
355,Elderly,No,Travel_Rarely,Very High,Research & Development,Low,4,Medical,2,Male,High,3,5.0,Research Director,3,Married,Medium,2,Yes,11.0,3.0,4.0,1,Very High,2,2,High,1,7.0,7.0
356,Adult,No,Travel_Rarely,High,Research & Development,High,3,Other,3,Female,Medium,3,2.0,Research Scientist,3,Single,Low,3,No,13.0,3.0,4.0,0,Medium,4,4,High,7,1.0,7.0
357,Elderly,No,Travel_Rarely,Very High,Research & Development,Very High,4,Medical,2,Male,Medium,4,3.0,Healthcare Representative,4,Married,Low,3,No,15.0,3.0,3.0,0,High,2,3,Medium,3,1.0,2.0
358,Elderly,No,Travel_Frequently,Low,Research & Development,Very High,3,Medical,4,Male,High,3,1.0,Laboratory Technician,4,Married,High,7,No,20.0,4.0,1.0,1,Medium,1,3,Low,2,1.0,2.0
359,Adult,No,Non-Travel,Medium,Research & Development,Medium,3,Life Sciences,3,Male,Low,2,1.0,Laboratory Technician,3,Married,High,1,No,18.0,3.0,3.0,2,Low,3,3,Low,0,0.0,0.0
360,Elderly,No,Non-Travel,Medium,Research & Development,Low,4,Medical,1,Female,Medium,2,4.0,Manufacturing Director,3,Married,Very High,4,Yes,20.0,4.0,4.0,3,Very High,2,2,Low,2,0.0,2.0
361,Elderly,No,Non-Travel,Medium,Sales,Low,4,Life Sciences,3,Female,High,3,2.0,Sales Executive,3,Married,High,4,No,22.0,4.0,2.0,2,Medium,3,4,High,7,5.0,7.0
362,Adult,No,Travel_Rarely,Low,Sales,High,4,Marketing,2,Male,Low,3,2.0,Sales Executive,3,Single,Medium,1,No,14.0,3.0,2.0,0,Medium,2,2,Very High,4,0.0,9.0
363,Elderly,No,Travel_Rarely,Very High,Research & Development,Low,3,Life Sciences,3,Female,Very High,2,1.0,Laboratory Technician,4,Single,Low,7,No,15.0,3.0,2.0,0,Low,3,2,Low,2,2.0,2.0
364,Adult,No,Non-Travel,High,Research & Development,Medium,2,Medical,3,Male,Medium,3,1.0,Research Scientist,1,Divorced,Low,1,Yes,13.0,3.0,4.0,1,Low,3,4,Medium,2,2.0,3.0
365,Elderly,No,Travel_Rarely,High,Research & Development,High,2,Other,4,Male,Very High,2,5.0,Manager,4,Single,Very High,8,No,22.0,4.0,4.0,0,Very High,2,3,Low,0,0.0,1.0
366,Adult,Yes,Travel_Rarely,Low,Sales,Very High,3,Marketing,2,Female,Low,3,3.0,Sales Executive,4,Married,Very High,1,No,22.0,4.0,4.0,3,Medium,3,2,Very High,4,1.0,9.0
367,Adult,No,Travel_Rarely,Very High,Sales,Very High,3,Marketing,3,Female,Medium,2,2.0,Sales Executive,4,Married,Very High,7,Yes,19.0,3.0,3.0,1,Low,2,2,Low,2,0.0,0.0
368,Adult,No,Travel_Rarely,Very High,Research & Development,High,2,Other,4,Male,Medium,2,2.0,Laboratory Technician,2,Married,Very High,4,Yes,13.0,3.0,1.0,1,Medium,2,3,Medium,3,0.0,3.0
369,Adult,No,Travel_Rarely,Low,Research & Development,Medium,1,Technical Degree,3,Male,Low,2,3.0,Research Director,4,Divorced,Medium,1,Yes,16.0,3.0,2.0,1,Medium,3,3,High,8,0.0,8.0
370,Adult,Yes,Travel_Frequently,Low,Sales,Very High,4,Marketing,3,Female,Medium,2,2.0,Sales Executive,1,Single,Very High,5,No,15.0,3.0,3.0,0,Medium,5,2,High,3,0.0,1.0
371,Senior Citizen,No,Travel_Rarely,Very High,Research & Development,Very High,3,Life Sciences,4,Male,High,3,4.0,Manufacturing Director,2,Married,High,4,Yes,12.0,3.0,1.0,1,Very High,0,3,Very High,16,15.0,9.0
372,Adult,No,Travel_Rarely,High,Sales,Low,2,Medical,2,Male,Medium,1,2.0,Sales Executive,4,Married,Medium,2,Yes,22.0,4.0,3.0,3,Low,2,2,Medium,3,0.0,2.0
373,Elderly,No,Travel_Rarely,Low,Research & Development,Low,2,Medical,4,Female,Medium,1,5.0,Manager,3,Married,Low,4,No,14.0,3.0,4.0,1,Very High,5,3,Very High,9,9.0,11.0
374,Adult,No,Travel_Rarely,High,Research & Development,Medium,4,Life Sciences,3,Male,Medium,3,2.0,Laboratory Technician,3,Divorced,Medium,1,No,13.0,3.0,1.0,3,Medium,4,2,Very High,7,8.0,9.0
375,Adult,No,Travel_Frequently,High,Sales,Medium,1,Life Sciences,2,Male,High,3,2.0,Sales Executive,4,Married,High,6,No,13.0,3.0,1.0,0,Medium,2,4,Medium,4,1.0,2.0
376,Elderly,Yes,Travel_Rarely,High,Research & Development,Low,4,Life Sciences,2,Female,Medium,1,1.0,Laboratory Technician,4,Divorced,High,4,Yes,13.0,3.0,3.0,1,Medium,1,2,High,7,1.0,0.0
377,Elderly,No,Travel_Rarely,Very High,Research & Development,Medium,3,Medical,2,Female,Low,3,5.0,Research Director,4,Divorced,Low,0,Yes,14.0,3.0,4.0,1,Very High,4,2,Very High,7,1.0,10.0
378,Adult,Yes,Travel_Rarely,Low,Research & Development,Very High,5,Technical Degree,3,Female,High,2,1.0,Research Scientist,2,Married,High,5,No,16.0,3.0,2.0,0,Low,2,4,Low,2,1.0,1.0
379,Elderly,No,Travel_Rarely,Low,Sales,Low,1,Medical,4,Female,Low,3,2.0,Sales Executive,1,Single,Low,7,No,20.0,4.0,4.0,0,Very High,2,4,Very High,7,8.0,10.0
380,Adult,Yes,Non-Travel,Very High,Sales,High,4,Other,4,Male,Medium,4,2.0,Sales Executive,3,Married,Very High,8,No,12.0,3.0,4.0,0,Low,2,3,Medium,2,1.0,2.0
381,Adult,No,Non-Travel,Medium,Research & Development,Medium,3,Medical,4,Male,High,3,1.0,Laboratory Technician,4,Single,Medium,1,No,20.0,4.0,3.0,0,Medium,5,3,High,7,5.0,7.0
382,Adult,No,Travel_Rarely,High,Research & Development,Low,3,Medical,3,Female,Medium,2,2.0,Manufacturing Director,4,Single,High,5,Yes,24.0,4.0,2.0,0,High,4,2,Low,0,0.0,0.0
383,Adult,No,Travel_Rarely,Low,Research & Development,High,4,Technical Degree,4,Female,High,3,3.0,Healthcare Representative,3,Married,Low,3,No,12.0,3.0,1.0,0,Medium,0,3,High,7,1.0,7.0
384,Adult,No,Travel_Rarely,High,Sales,Medium,4,Medical,2,Male,Very High,3,2.0,Sales Executive,3,Single,Very High,1,No,16.0,3.0,1.0,0,High,0,3,Very High,8,5.0,7.0
385,Adult,No,Travel_Rarely,Low,Research & Development,Very High,2,Medical,3,Female,Medium,2,2.0,Healthcare Representative,4,Divorced,High,7,No,13.0,3.0,3.0,2,Medium,2,3,High,2,1.0,3.0
386,Elderly,No,Travel_Rarely,High,Research & Development,Very High,3,Medical,2,Male,Very High,1,3.0,Healthcare Representative,1,Divorced,High,2,Yes,18.0,3.0,2.0,1,Very High,2,3,High,7,0.0,7.0
387,Elderly,No,Travel_Rarely,High,Sales,High,3,Marketing,3,Female,Very High,2,3.0,Sales Executive,4,Married,Medium,2,Yes,19.0,3.0,3.0,1,High,3,3,Low,2,1.0,2.0
388,Adult,Yes,Non-Travel,Very High,Sales,Very High,3,Marketing,1,Male,High,4,2.0,Sales Executive,4,Single,Low,8,Yes,13.0,3.0,2.0,0,Medium,3,2,Medium,2,0.0,4.0
389,Adult,No,Travel_Rarely,Medium,Research & Development,Low,2,Life Sciences,2,Female,Very High,2,1.0,Research Scientist,3,Married,High,1,Yes,13.0,3.0,3.0,1,Low,3,2,Low,0,1.0,0.0
390,Adult,Yes,Travel_Frequently,Low,Research & Development,Low,3,Life Sciences,1,Male,Medium,3,1.0,Research Scientist,1,Married,High,6,Yes,14.0,3.0,2.0,1,Low,2,3,Low,2,1.0,2.0
391,Young Adult,No,Non-Travel,Low,Research & Development,Very High,2,Other,2,Female,Very High,2,1.0,Research Scientist,3,Married,Medium,1,Yes,14.0,3.0,2.0,0,Low,2,2,Medium,2,1.0,3.0
392,Adult,No,Travel_Rarely,Medium,Human Resources,High,4,Technical Degree,3,Male,Very High,3,1.0,Human Resources,3,Single,Low,1,No,17.0,3.0,2.0,0,Low,2,1,Medium,4,1.0,4.0
393,Adult,No,Travel_Rarely,High,Sales,High,3,Marketing,4,Male,Medium,3,2.0,Sales Executive,4,Single,Very High,1,No,12.0,3.0,4.0,0,Medium,2,2,Very High,7,0.0,8.0
394,Adult,No,Travel_Frequently,Medium,Sales,Low,2,Life Sciences,3,Male,Low,2,2.0,Sales Executive,4,Married,High,1,Yes,12.0,3.0,3.0,1,Medium,2,3,High,7,0.0,7.0
395,Adult,Yes,Travel_Rarely,High,Research & Development,High,3,Medical,1,Female,Low,3,1.0,Laboratory Technician,1,Single,Medium,7,No,22.0,4.0,1.0,0,Medium,2,4,Medium,4,0.0,4.0
396,Adult,No,Travel_Frequently,Very High,Sales,Very High,3,Life Sciences,4,Female,Very High,3,2.0,Sales Executive,3,Single,Medium,1,No,14.0,3.0,4.0,0,Medium,2,3,High,7,0.0,7.0
397,Adult,No,Travel_Rarely,Very High,Research & Development,High,4,Life Sciences,4,Male,Medium,3,1.0,Research Scientist,4,Married,High,3,Yes,19.0,3.0,2.0,1,Medium,2,3,High,4,0.0,2.0
398,Elderly,No,Travel_Rarely,High,Research & Development,Low,3,Life Sciences,1,Male,Medium,3,4.0,Research Director,3,Married,Low,6,No,13.0,3.0,3.0,0,Very High,2,1,Low,2,0.0,1.0
399,Elderly,No,Travel_Frequently,Very High,Research & Development,Very High,3,Life Sciences,4,Female,High,3,2.0,Research Scientist,4,Divorced,Medium,3,Yes,14.0,3.0,1.0,2,High,4,2,High,2,3.0,3.0
400,Elderly,No,Travel_Rarely,Low,Research & Development,Low,4,Technical Degree,4,Male,Medium,3,2.0,Manufacturing Director,4,Divorced,High,2,No,11.0,3.0,3.0,1,High,3,2,High,3,1.0,4.0
401,Adult,No,Travel_Frequently,Medium,Research & Development,High,3,Life Sciences,1,Male,Medium,3,1.0,Research Scientist,3,Married,High,6,No,13.0,3.0,1.0,1,Medium,3,2,Medium,2,1.0,3.0
402,Adult,No,Travel_Rarely,High,Research & Development,Very High,2,Life Sciences,1,Male,Medium,3,1.0,Laboratory Technician,3,Divorced,Very High,1,No,16.0,3.0,4.0,1,Low,5,2,Medium,2,2.0,2.0
403,Adult,No,Travel_Rarely,Very High,Research & Development,Very High,2,Life Sciences,3,Male,Very High,4,1.0,Research Scientist,3,Married,Very High,1,No,24.0,4.0,3.0,1,Medium,3,3,Very High,7,0.0,7.0
404,Adult,No,Travel_Rarely,Medium,Research & Development,Medium,4,Medical,3,Female,Very High,3,2.0,Manufacturing Director,1,Married,Medium,1,No,12.0,3.0,3.0,1,Medium,2,4,High,7,6.0,3.0
405,Elderly,No,Travel_Frequently,High,Research & Development,High,4,Medical,2,Female,Very High,3,4.0,Manager,4,Divorced,Very High,3,No,20.0,4.0,1.0,1,Very High,2,3,Very High,9,1.0,12.0
406,Adult,Yes,Travel_Frequently,Medium,Sales,Very High,4,Marketing,4,Female,High,3,2.0,Sales Executive,3,Married,Very High,0,Yes,18.0,3.0,3.0,1,Low,0,2,Medium,2,3.0,2.0
407,Elderly,No,Travel_Rarely,Low,Sales,High,3,Marketing,3,Male,Medium,3,5.0,Manager,3,Married,High,4,Yes,16.0,3.0,3.0,1,Very High,2,3,Low,0,0.0,0.0
408,Adult,No,Travel_Rarely,Medium,Sales,Medium,1,Marketing,3,Male,Very High,2,2.0,Sales Executive,1,Married,High,1,No,12.0,3.0,1.0,0,Low,1,4,Medium,2,0.0,3.0
409,Adult,No,Travel_Rarely,Low,Sales,High,4,Life Sciences,2,Male,High,3,2.0,Sales Executive,4,Divorced,Medium,2,No,11.0,3.0,3.0,1,Medium,3,2,Medium,2,0.0,3.0
410,Adult,No,Travel_Rarely,Low,Research & Development,Medium,2,Medical,3,Male,High,2,2.0,Laboratory Technician,3,Divorced,Medium,0,No,15.0,3.0,4.0,1,High,3,3,Very High,8,0.0,7.0
411,Adult,No,Travel_Rarely,Very High,Research & Development,Low,4,Life Sciences,4,Female,Low,3,1.0,Laboratory Technician,1,Divorced,High,1,No,13.0,3.0,4.0,1,Low,6,3,Low,0,0.0,0.0
412,Adult,No,Travel_Rarely,Low,Research & Development,High,2,Life Sciences,2,Female,Very High,3,2.0,Manufacturing Director,1,Married,Low,2,Yes,16.0,3.0,2.0,1,Very High,3,3,Low,0,0.0,0.0
413,Adult,No,Travel_Rarely,Low,Research & Development,Medium,4,Life Sciences,1,Female,Medium,3,3.0,Research Director,2,Single,Very High,0,No,11.0,3.0,3.0,0,High,4,3,Very High,6,2.0,11.0
414,Adult,No,Travel_Rarely,Very High,Research & Development,Medium,4,Technical Degree,3,Male,High,3,3.0,Manufacturing Director,2,Single,High,0,No,13.0,3.0,4.0,0,Very High,5,3,Very High,6,0.0,13.0
415,Adult,No,Travel_Rarely,Low,Research & Development,Low,2,Life Sciences,2,Male,Very High,2,1.0,Research Scientist,4,Married,Very High,1,Yes,13.0,3.0,4.0,1,Low,3,3,High,5,1.0,3.0
416,Adult,No,Travel_Rarely,Very High,Human Resources,Low,3,Life Sciences,4,Female,Low,2,2.0,Human Resources,4,Married,Low,8,No,11.0,3.0,3.0,2,High,2,3,Medium,4,0.0,4.0
417,Elderly,Yes,Travel_Rarely,Medium,Research & Development,Low,2,Life Sciences,1,Male,Very High,2,3.0,Laboratory Technician,3,Single,High,9,Yes,13.0,3.0,4.0,0,Very High,2,3,Low,0,0.0,0.0
418,Elderly,No,Travel_Rarely,High,Sales,Low,4,Medical,4,Female,High,3,5.0,Manager,4,Divorced,Very High,3,No,11.0,3.0,3.0,1,Very High,3,2,High,0,0.0,6.0
419,Adult,No,Travel_Rarely,High,Sales,Low,4,Life Sciences,2,Female,High,3,2.0,Sales Executive,3,Single,Very High,6,No,13.0,3.0,1.0,0,High,5,3,Low,0,0.0,0.0
420,Elderly,No,Travel_Frequently,Very High,Research & Development,Low,4,Medical,2,Male,Low,3,2.0,Healthcare Representative,3,Single,High,4,No,12.0,3.0,3.0,0,High,3,3,Medium,2,0.0,3.0
421,Adult,No,Travel_Rarely,Medium,Sales,High,2,Technical Degree,3,Female,High,2,2.0,Sales Executive,2,Married,Very High,1,Yes,11.0,3.0,4.0,0,High,2,3,Very High,12,11.0,9.0
422,Adult,No,Travel_Rarely,Low,Research & Development,High,1,Medical,3,Male,Very High,3,4.0,Manager,1,Married,Low,1,Yes,14.0,3.0,4.0,0,Very High,3,3,Very High,9,11.0,10.0
423,Elderly,No,Travel_Rarely,High,Research & Development,Medium,2,Medical,1,Male,Very High,3,5.0,Research Director,1,Married,Medium,4,No,11.0,3.0,3.0,1,Very High,4,2,Medium,2,1.0,2.0
424,Adult,No,Travel_Rarely,Medium,Research & Development,High,1,Life Sciences,4,Female,Very High,3,1.0,Research Scientist,1,Divorced,High,0,Yes,13.0,3.0,2.0,2,Low,3,2,Medium,3,4.0,3.0
425,Adult,No,Travel_Rarely,Medium,Research & Development,High,3,Life Sciences,4,Female,High,2,3.0,Manufacturing Director,3,Married,Very High,1,Yes,20.0,4.0,2.0,1,Very High,2,3,Very High,14,5.0,15.0
426,Adult,No,Travel_Rarely,Very High,Sales,Medium,3,Life Sciences,3,Male,Very High,3,3.0,Sales Executive,4,Single,High,2,No,12.0,3.0,1.0,0,High,3,3,Medium,3,1.0,3.0
